Teams,Open_Play,Counter_Attack,Set_Piece,Penalty,Own_Goal
Granada,55,3,14,5,2
Almeria,52,6,11,6,0
Osasuna,42,4,9,1,0
Villarreal,38,5,15,6,1
Atletico Madrid,37,1,4,1,0
Celta Vigo,37,2,9,6,3
Cadiz,35,8,9,2,1
Barcelona,34,4,4,2,0
Getafe,34,1,14,5,0
Rayo Vallecano,32,5,8,1,2
Sevilla,32,3,12,5,2
Deportivo Alaves,30,0,6,8,2
Valencia,29,1,10,3,2
Girona,27,5,9,5,0
Las Palmas,27,5,7,5,3
Mallorca,26,2,11,4,1
Real Betis,24,2,9,7,3
Athletic Club,23,4,5,1,4
Real Sociedad,23,2,7,6,1
Real Madrid,19,3,2,1,1
