Teams,Cross_pg,Through_Ball_pg,Long_Ball_pg,Short_Passes_pg
Celta Vigo,20,1,58,451
Valencia,19,1,61,441
Atletico Madrid,20,1,52,436
Deportivo Alaves,18,1,56,435
Cadiz,20,1,57,425
Mallorca,17,1,57,412
Granada,19,2,59,410
Villarreal,23,1,53,409
Almeria,22,1,57,408
Real Betis,19,1,52,406
Osasuna,18,2,59,404
Athletic Club,16,1,64,402
Sevilla,18,2,55,393
Getafe,17,2,64,392
Real Madrid,18,1,47,368
Rayo Vallecano,18,1,62,366
Girona,19,1,51,349
Las Palmas,18,3,57,317
Real Sociedad,14,1,64,311
Barcelona,15,1,53,279
