Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Nabil Aberdin,fr FRA,DF,Getafe,20,2002,2,180,90,5.3,2.0,2,90,2,0,,3,0.00,1,3,-2,-1.00,-0.72,1.2,2.5,-1.3,-0.67,-0.48,Matches
Abner,br BRA,DF,Betis,23,2000,23,"1,400",61,40.9,15.6,15,82,12,8,22,10,1.61,20,20,0,0.00,-0.13,17.2,27.2,-9.9,-0.64,-0.80,Matches
Abdel Abqar,ma MAR,DF,Alavés,24,1999,27,"2,312",86,67.6,25.7,27,86,23,0,,4,1.07,21,30,-9,-0.35,-0.27,27.0,30.7,-3.8,-0.15,-0.58,Matches
Vicent Abril Sanz,es ESP,GK,Valencia,18,2005,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
Marcos Acuña,ar ARG,DF,Sevilla,31,1991,21,"1,292",62,37.8,14.4,18,69,5,3,19,2,1.14,20,21,-1,-0.07,+0.14,17.1,21.9,-4.8,-0.34,-0.07,Matches
Julen Agirrezabala,es ESP,GK,Athletic Club,22,2000,4,238,60,7.0,2.6,2,90,2,2,29,34,1.50,3,4,-1,-0.38,-1.09,2.6,2.8,-0.2,-0.08,-0.41,Matches
Lucien Agoume,fr FRA,MF,Sevilla,21,2002,12,777,65,22.7,8.6,9,79,5,3,22,1,1.42,11,12,-1,-0.12,+0.05,11.5,14.6,-3.1,-0.36,-0.09,Matches
Joseph Aidoo,gh GHA,DF,Celta Vigo,27,1995,6,407,68,11.9,4.5,4,90,4,2,24,3,0.83,3,6,-3,-0.66,-0.42,5.3,7.0,-1.7,-0.38,-0.31,Matches
Ilias Akhomach,ma MAR,"MF,FW",Villarreal,19,2004,31,"1,511",49,44.2,16.8,17,70,2,14,23,6,1.45,26,33,-7,-0.42,-0.75,25.5,29.0,-3.4,-0.20,-0.22,Matches
Sergio Akieme,es ESP,DF,Almería,25,1997,19,"1,675",88,49.0,18.6,19,88,18,0,,1,0.32,17,36,-19,-1.02,-0.35,24.7,33.0,-8.3,-0.45,-0.22,Matches
Paul Akouokou,ci CIV,MF,Betis,25,1997,2,27,14,0.8,0.3,0,,0,2,14,1,1.50,1,1,0,0.00,-0.08,0.5,0.7,-0.2,-0.54,-0.38,Matches
David Alaba,at AUT,DF,Real Madrid,31,1992,14,"1,154",82,33.7,12.8,14,82,12,0,,1,2.36,23,10,+13,+1.01,-0.89,21.0,12.9,+8.1,+0.63,-0.38,Matches
Raúl Albiol,es ESP,DF,Villarreal,37,1985,26,"2,031",78,59.4,22.6,24,82,18,2,35,4,1.15,34,36,-2,-0.09,-0.22,30.8,37.5,-6.7,-0.30,-0.52,Matches
Rubén Alcaraz,es ESP,MF,Cádiz,32,1991,36,"3,134",87,91.6,34.8,36,87,29,0,,0,0.89,26,48,-22,-0.63,+1.57,34.0,46.4,-12.4,-0.36,+0.88,Matches
Omar Alderete,py PAR,DF,Getafe,26,1996,31,"2,195",71,64.2,24.4,24,84,20,7,27,3,1.06,26,34,-8,-0.33,-0.03,30.4,34.4,-4.0,-0.16,+0.14,Matches
Iván Alejo,es ESP,MF,Cádiz,28,1995,30,"1,692",56,49.5,18.8,21,71,3,9,22,5,1.00,14,26,-12,-0.64,+0.25,17.3,25.7,-8.3,-0.44,-0.03,Matches
Carles Aleñá,es ESP,MF,Getafe,25,1998,29,"1,020",35,29.8,11.3,10,58,0,19,23,5,1.10,12,22,-10,-0.88,-0.81,15.3,18.4,-3.1,-0.27,-0.08,Matches
Mohamed Ali Cho,fr FRA,"FW,MF",Real Sociedad,19,2004,11,249,23,7.3,2.8,1,90,1,10,16,6,1.73,5,7,-2,-0.72,-1.12,5.2,4.0,+1.2,+0.43,+0.36,Matches
Tadeo Allende,ar ARG,"MF,FW",Celta Vigo,24,1999,10,336,34,9.8,3.7,2,66,0,8,26,5,0.80,7,8,-1,-0.27,+0.02,5.2,5.4,-0.2,-0.06,+0.05,Matches
Domingos André Ribeiro Almeida,pt POR,"FW,MF",Valencia,23,2000,18,965,54,28.2,10.7,12,67,2,6,26,3,1.00,15,11,+4,+0.37,+0.70,13.9,12.5,+1.4,+0.13,+0.35,Matches
Iker Almena,es ESP,FW,Girona,19,2004,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
Nando Almodóvar,es ESP,GK,Cádiz,19,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
