,xG,PrgPasses,Gls/90,xG/90,Shots,Sh/90,SoT/90,Dist,PrgDist,FinalThirdPass,PenaltyAreaCross,SCA90,Tkl Def 3rd,Tkl Mid 3rd,Clearances,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,short_Pass_Ratio,medium_Pass_Ratio,long_Pass_Ratio,clusters,Player_Name,Pos
607,2.7,152,0.14,0.09,22,0.75,0.37,14.8,6269,136,1,1.87,18,29,54,91,397,1144,267,32,0.4574324324324324,0.4574324324324324,0.085135135,0,Martín Zubimendi,MF
428,3.1,136,0.24,0.19,15,0.91,0.43,14.5,3933,83,4,4.21,16,13,10,22,171,773,427,36,0.4920212765957447,0.4237588652482269,0.084219858,0,Pedri,MF
427,0.6,31,0.08,0.05,9,0.73,0.32,16.5,2335,17,14,2.58,18,5,19,42,234,287,222,26,0.49731663685152055,0.3953488372093023,0.1073345259391771,0,Alfonso Pedraza,DF
165,0,100,0,0,1,0.06,0,51.1,5968,84,3,1.76,19,13,45,62,460,604,228,9,0.4584870848708487,0.4308118081180812,0.11070110701107011,0,Kiko Femenía,DF
167,0.3,52,0,0.02,7,0.49,0.07,24,2701,46,4,1.82,10,9,30,52,212,405,163,8,0.49834983498349833,0.35973597359735976,0.1419141914191419,0,Álex Fernández,MF
422,2.9,210,0.1,0.1,9,0.31,0.1,27.1,10494,177,5,2.76,16,21,29,87,538,1164,342,10,0.39864864864864863,0.44256756756756754,0.15878378378378377,0,Daniel Parejo,MF
417,5.9,128,0.13,0.19,70,2.26,1,22.5,3997,94,3,3.61,16,21,41,43,232,725,705,55,0.47468354430379744,0.33634719710669075,0.18896925858951175,0,Isaac Palazón Camacho,MF
175,1.8,89,0.24,0.14,17,1.33,0.39,18.2,2697,56,6,3.53,8,11,10,10,103,423,295,40,0.49169435215946844,0.36046511627906974,0.1478405315614618,0,Pablo Fornals,FW
177,0.6,72,0,0.03,7,0.34,0.05,16.9,4675,47,6,1.32,22,13,49,47,423,558,290,18,0.48078920041536866,0.39667705088265837,0.122533749,0,Dimitri Foulquier,DF
178,0.4,51,0.08,0.03,6,0.51,0.17,12.8,3470,50,2,1.02,18,8,44,69,270,389,175,16,0.4878048780487805,0.4115853658536585,0.10060975609756098,0,Juan Foyth,DF
429,0.7,61,0.05,0.04,16,0.82,0.21,22,3651,42,13,2.67,28,14,54,57,307,477,408,22,0.502844141,0.3583617747440273,0.13879408418657566,0,Adrià Pedrosa,DF
408,3.5,103,0.08,0.14,24,0.92,0.19,18,2859,68,0,2.69,18,20,11,17,157,651,516,62,0.5882352941176471,0.34558823529411764,0.066176471,0,Aimar Oroz,MF
184,0.3,147,0.04,0.01,11,0.47,0.09,25.4,5134,127,4,2.41,15,26,17,30,194,883,345,7,0.4496587030716723,0.4044368600682594,0.14590443686006827,0,Iñigo Ruiz de Galarreta,MF
185,1.8,294,0.08,0.05,39,1.1,0.34,26.4,14261,306,8,3.63,17,26,53,149,780,1809,651,18,0.45705196182396607,0.3598444680098975,0.18310357016613643,0,Aleix García,MF
402,5.4,124,0.13,0.17,63,1.97,0.72,16.9,3535,52,20,3.1,22,27,29,30,224,657,871,125,0.5188762071992976,0.33187006145741876,0.14925373134328357,0,Lucas Ocampos,FW
190,2.8,221,0.17,0.1,16,0.55,0.2,9.4,14739,223,2,1.43,34,18,79,180,972,1378,227,23,0.38643462739848283,0.501115573,0.11244979919678715,0,Eric García,DF
191,0.5,60,0.06,0.03,9,0.58,0.06,20.9,3312,38,6,2.19,11,12,28,39,309,464,385,23,0.583772392,0.3445732349841939,0.071654373,0,Fran Garcia,DF
195,2.3,59,0.17,0.13,28,1.63,0.58,18,2306,31,9,3.79,8,17,23,19,125,365,466,40,0.5049928673323824,0.3095577746077033,0.18544935805991442,0,Rubén García,FW
395,1.5,34,0.07,0.1,16,1.05,0.26,14.5,1721,44,5,2.03,29,29,56,67,255,480,210,36,0.6079365079365079,0.31587301587301586,0.076190476,0,Saúl Ñíguez,MF
200,0.9,39,0.1,0.09,9,0.86,0.38,15.2,1400,37,2,2.57,20,14,16,27,108,394,181,18,0.6116504854368932,0.32038834951456313,0.067961165,0,Gavi,MF
393,0.1,111,0,0,4,0.11,0,20.4,8794,70,18,1.14,22,9,108,112,795,912,310,9,0.4777708202880401,0.38196618659987475,0.14026299311208515,0,Carlos Neva,DF
183,0.1,45,0,0.01,3,0.25,0.08,20.8,2880,36,10,1.84,15,19,17,18,185,383,253,13,0.4500792393026941,0.43106180665610144,0.11885895404120443,0,Javi Galán,DF
434,0.9,78,0,0.04,17,0.73,0.22,21,4696,55,18,2.63,22,18,39,49,290,501,468,41,0.4215349369988545,0.4306987399770905,0.14776632302405499,0,Rubén Peña,DF
438,1.1,41,0.04,0.05,20,0.88,0.09,18.4,1592,24,7,1.76,10,14,5,16,144,362,374,43,0.6370510396975425,0.29300567107750475,0.069943289,0,Francisco Perez,MF
153,1,113,0,0.04,18,0.65,0.18,22.2,7831,74,10,1.94,43,22,63,82,607,801,360,27,0.44243792325056436,0.42061700526711815,0.13694507148231752,0,Alfonso Espino,DF
110,0.1,47,0,0.01,3,0.3,0,16.6,1616,37,1,1.58,8,10,15,33,126,305,99,10,0.4552058111380145,0.44552058111380144,0.099273608,0,Francis Coquelin,MF
480,1.1,126,0.09,0.05,20,0.91,0.32,24.3,5610,120,0,2.68,17,29,23,53,333,858,229,23,0.46194690265486726,0.3911504424778761,0.14690265486725665,0,Marc Roca,MF
479,1,128,0,0.04,37,1.4,0.49,28.1,5863,115,9,2.84,28,23,43,72,405,975,316,17,0.4565718677940046,0.382782475,0.1606456571867794,0,Lucas Robertone,MF
114,0.6,80,0,0.03,5,0.21,0.08,20.9,6810,70,11,2.13,39,20,61,90,597,739,292,24,0.47537138389366695,0.3612197028928851,0.163408913,0,Thierry Correia,DF
115,0.3,50,0,0.02,6,0.32,0.11,16.3,4167,36,14,2.25,23,10,35,40,285,402,306,21,0.48672566371681414,0.36788874841972186,0.14538558786346398,0,Jaume Costa,DF
116,1.1,93,0.04,0.04,22,0.86,0.12,20.9,3901,77,4,1.84,40,46,59,83,382,808,243,33,0.42534381139489197,0.4243614931237721,0.15029469548133595,0,Samu Costa,MF
476,0.3,30,0,0.04,10,1.11,0.45,23.7,2352,31,3,2.23,9,6,23,31,161,266,203,8,0.4894957983193277,0.36134453781512604,0.14915966386554622,0,Mihailo Ristić,DF
118,1.5,97,0.04,0.06,29,1.16,0.44,21.3,4090,62,17,2.24,25,14,31,50,375,633,651,79,0.5058915946582875,0.40219952867242736,0.091908877,0,Yan Couto,DF
473,6.1,77,0.18,0.22,53,1.91,0.54,21.6,2662,25,19,2.92,10,12,28,24,150,382,619,62,0.4600262123197903,0.3656618610747051,0.1743119266055046,0,Luis Rioja,FW
121,0,77,0,0,3,0.16,0,28.7,5357,69,3,0.65,16,10,39,56,315,567,200,5,0.4179431072210066,0.4234135667396061,0.1586433260393873,0,Juan Cruz Armada,DF
472,0.3,119,0,0.01,18,0.64,0.18,27,8646,106,32,2.17,32,23,76,80,458,900,467,6,0.406272274,0.4034212401995723,0.1903064861012117,0,Diego Rico,DF
128,2.2,132,0.08,0.09,32,1.34,0.5,22.4,4827,120,14,3.8,13,21,16,10,141,709,409,30,0.38181818181818183,0.3732620320855615,0.2449197860962567,0,Sergi Darder,MF
129,1.8,202,0.13,0.08,30,1.3,0.52,19.8,6879,146,7,3.55,11,14,15,27,274,1054,460,40,0.4731774415405777,0.3768913342503439,0.1499312242090784,0,Rodrigo De Paul,MF
459,1.3,127,0.13,0.08,32,2.02,0.44,26.9,4888,111,16,5.05,9,12,12,19,169,685,412,23,0.39076034648700675,0.3599615014436959,0.2492781520692974,0,Ivan Rakitić,MF
451,0.7,36,0.05,0.03,20,0.96,0.24,20.8,4008,39,10,2.01,35,8,83,112,435,555,278,33,0.4642857142857143,0.4029017857142857,0.1328125,0,Marc Pubill,DF
449,0.5,87,0,0.03,7,0.43,0.25,18.5,2698,69,2,1.3,11,23,27,30,156,614,233,14,0.5123537061118335,0.42782834850455137,0.059817945,0,Beñat Prados,MF
448,0.4,44,0,0.04,4,0.37,0.28,23.3,2929,36,8,2.31,11,6,21,28,186,340,184,11,0.4857142857142857,0.3767857142857143,0.1375,0,Alejandro Pozo Pozo,DF
299,0.5,97,0,0.03,16,0.8,0.3,23.7,2865,81,0,2.06,15,34,16,34,238,799,337,26,0.6153100775193798,0.312984496,0.071705426,0,Enzo Loiodice,MF
149,4.3,58,0.11,0.16,63,2.29,0.87,24.1,3039,40,16,3.93,29,15,12,18,195,514,633,65,0.47596153846153844,0.3161057692307692,0.20793269230769232,0,Adri Embarba,FW
151,1.9,66,0.05,0.1,14,0.74,0.16,17.4,2359,60,0,1.11,16,14,33,50,221,549,141,19,0.48489425981873113,0.3776435045317221,0.13746223564954682,0,Gonzalo Escalante,MF
440,0.2,78,0,0.01,7,0.39,0.17,23.6,5059,97,0,1.61,17,22,21,54,457,901,144,8,0.5838011226944667,0.37209302325581395,0.044105854049719326,0,Máximo Perrone,MF
391,0.1,103,0,0.01,7,0.31,0.09,25,5129,74,21,2.21,21,14,48,58,374,596,489,17,0.4454855195911414,0.37223168654173766,0.18228279386712096,0,Jesús Navas,DF
